NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,TP_SEMESTRE,IN_MATUT,IN_VESPER,IN_NOTURNO,ID_STATUS,AMOSTRA,TP_INSCRICAO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79,QE_I80,QE_I81
2014,4502,10008,10022,2001,5702,1,3304557,33,3,20,F,2011,2012,2,1,0,0,1,1,0,8,0,0,0,27,0,5,0,ACEBDCED,ACEBDCED,DDCCEBCACEBDAACABEACDBDEDCB,DDCCEXCAXEBDAACAXEACDXDEXCB,ADEBACCD,10110101.0,DDCCBACABDCAAAAADECCDBDBCCB,111109119000110191011910911,555,555,555,555,555,555,555,555,555,555,555,64.1,62.3,62.5,62.0,69.0,85.0,65.0,55.0,75.0,50.0,64.7,68.2,45.0,35.0,30.0,70.0,C,C,B,B,C,D,D,D,D,A,A,A,E,D,B,D,A,B,A,B,A,A,A,A,33.0,A,A,B,C,A,C,D,A,B,B,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,A,C,G,B,A,B,A,A,A,B,B,A,A
2014,2724,10005,10022,3502,80257,1,2105302,21,2,26,M,2006,2011,2,0,0,1,1,1,0,8,0,0,0,27,1,4,0,ACEBDCED,ACEBDCED,AZDDCECBCEBEEDDCCCAACADEDCB,AZDDXECBCEBEEDDXXCAACADEXCB,BBCBDBCB,11000.0,CBECABDABBDACBEDCACBCABCDCC,080090000000000990001100910,555,555,555,555,555,555,555,555,555,555,555,18.3,30.4,25.0,38.5,27.0,75.0,15.0,50.0,50.0,50.0,14.3,13.6,18.3,15.0,0.0,40.0,B,A,B,A,A,A,B,E,C,A,B,C,C,E,B,G,B,B,A,B,A,A,A,A,17.0,A,A,B,E,A,B,B,E,E,C,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,A,A,B,C,A,A,C,E,D,A,A,A,A
2014,3618,10005,10022,3502,117573,1,3513009,35,3,38,M,1994,2011,2,0,0,1,1,1,0,8,0,0,0,27,1,4,0,ACEBDCED,ACEBDCED,AZDDCECBCEBEEDDCCCAACADEDCB,AZDDXECBCEBEEDDXXCAACADEXCB,BEDBAADD,10001.0,EEDDBEEBCEBDDEEBEECDDADCCCE,081191011110000990000110910,555,555,555,555,555,555,555,555,555,555,555,45.1,43.2,25.0,70.5,56.0,40.0,60.0,85.0,25.0,100.0,45.7,45.5,46.7,40.0,40.0,60.0,D,D,A,C,C,D,B,B,D,B,D,A,B,B,B,D,A,F,E,D,A,A,A,A,35.0,B,E,B,K,A,B,B,E,B,H,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0,D,I,I,I,A,C,B,D,A,A,A,A,A
2014,221,10006,10028,2001,109376,1,3550308,35,3,24,F,2007,2012,2,0,0,1,1,1,0,8,0,0,0,27,0,5,0,ACEBDCED,ACEBDCED,DDCCEBCACEBDAACABEACDBDEDCB,DDCCEXCAXEBDAACAXEACDXDEXCB,CAEEBEED,100011.0,EEEBCCCDACDCAAEABEDCDADCECE,000009109000110191011910910,555,555,555,555,555,555,555,555,555,555,555,40.6,43.1,37.5,51.5,48.0,40.0,50.0,55.0,75.0,50.0,39.8,40.9,33.3,15.0,50.0,35.0,C,C,B,B,B,C,B,B,C,A,A,A,B,B,B,D,A,D,B,B,A,A,A,A,35.0,A,A,B,A,B,C,B,E,E,C,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,A,B,I,I,D,A,A,C,A,B,A,A,A
2014,5,10002,10028,702,1183702,1,2211001,22,2,48,F,1995,2011,2,1,1,0,1,1,0,8,0,0,0,27,0,8,0,ACEBDCED,ACEBDCED,BCEDCEBCBADAAEBEBABCDADEDCB,BCEDCEBXBADXXXBEBAXXXADEXCB,DEDEDECD,1001.0,ECBABDBAAADECEEBEEAEBDCECDD,010000190119990000999001900,555,555,555,555,555,555,555,555,333,333,555,26.1,33.6,25.0,46.5,58.0,70.0,55.0,35.0,55.0,30.0,23.6,26.3,8.3,0.0,0.0,25.0,D,C,C,B,B,C,D,C,C,B,B,A,B,A,C,C,C,D,D,A,A,A,A,A,22.0,A,C,C,A,B,C,B,E,E,A,3.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,3.0,8.0,1.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,4.0,5.0,5.0,5.0,6.0,5.0,8.0,6.0,5.0,6.0,5.0,8.0,6.0,8.0,6.0,A,A,A,C,A,D,C,A,C,B,B,C,C
2014,575,10002,10028,1602,12945,1,3106200,31,3,25,M,2006,2008,2,1,1,0,1,1,0,8,0,0,0,27,0,9,0,ACEBDCED,ACEBDCED,ACEDAABEDBCABECCDBCAECDEDCB,XCEDAAXXDBXAXXCXDBCXECDEXCB,ACEBBCED,11110111.0,ECEDAABDEBAABECBDBCBECEEDCD,911111990191991911191101910,555,555,555,333,555,333,333,333,333,333,333,66.2,52.5,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.8,83.3,0.0,0.0,0.0,0.0,C,D,B,B,B,C,D,C,A,A,A,A,E,E,B,E,C,E,C,A,A,A,A,A,31.0,B,A,B,C,A,E,D,B,E,A,4.0,2.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,2.0,3.0,3.0,5.0,4.0,4.0,5.0,2.0,4.0,6.0,2.0,3.0,3.0,6.0,5.0,6.0,3.0,3.0,6.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,A,A,G,D,D,A,D,D,B,C,C,C,A
2014,298,10005,10028,2001,89380,0,4113700,41,4,30,F,2002,2011,2,0,0,1,1,1,0,8,0,0,0,27,0,5,0,ACEBDCED,ACEBDCED,DDCCEBCACEBDAACABEACDBDEDCB,DDCCEXCAXEBDAACAXEACDXDEXCB,AEECBCBD,10100101.0,DECDDAEAADCEAEADCAECDBBEBEB,101009019000100090011901901,555,555,555,555,555,555,555,555,555,555,555,40.5,54.4,50.0,61.0,59.0,55.0,60.0,63.0,55.0,65.0,35.9,36.4,33.3,30.0,40.0,30.0,D,D,C,B,B,D,B,B,.,B,A,A,B,B,C,D,B,E,C,B,A,A,A,A,29.0,A,C,B,C,B,E,D,E,C,D,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,A,B,A,A,A,B,B,A,A,A,A,A,B
2014,2356,10008,10022,2001,79456,1,1502202,15,1,27,F,2005,2010,2,0,0,1,1,1,0,8,0,0,0,27,0,5,0,ACEBDCED,ACEBDCED,DDCCEBCACEBDAACABEACDBDEDCB,DDCCEXCAXEBDAACAXEACDXDEXCB,AC*BAACD,11010001.0,CACAACBAABCEDADBCDBBDCCEBDB,001009019000010090001901901,555,555,555,555,555,555,555,555,555,555,555,33.6,57.2,50.0,68.0,70.0,50.0,75.0,66.0,50.0,70.0,25.7,27.3,16.7,0.0,30.0,20.0,C,D,C,B,D,D,B,B,C,B,A,A,B,D,C,C,A,E,E,B,A,A,A,A,15.0,A,A,B,C,A,C,B,E,C,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,A,B,I,I,A,A,A,D,A,A,A,A,A
2014,674,10003,10022,702,15629,1,2601607,26,2,35,M,2000,2008,2,0,0,1,1,1,0,8,0,0,0,27,0,8,0,ACEBDCED,ACEBDCED,BCEDCEBCBADAAEBEBABCDADEDCB,BCEDCEBXBADXXXBEBAXXXADEXCB,DDDEDDCA,1000.0,CDCCCBACDDCEDDCCCDCCDDDEDCC,000010090009990000999011910,555,555,555,555,555,333,555,555,333,333,333,19.9,25.9,12.5,46.0,69.0,45.0,75.0,23.0,55.0,15.0,17.9,21.1,0.0,0.0,0.0,0.0,D,D,C,D,D,D,B,C,B,B,B,A,B,B,C,F,A,E,E,H,A,B,A,A,26.0,A,A,D,G,A,B,B,E,B,G,5.0,4.0,6.0,5.0,6.0,6.0,5.0,5.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,3.0,5.0,6.0,4.0,5.0,5.0,5.0,8.0,8.0,6.0,4.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,8.0,3.0,6.0,6.0,D,A,H,B,E,C,D,A,A,C,C,C,A
2014,515,10005,10020,905,22375,1,3303302,33,3,21,F,2011,2012,2,0,0,1,1,1,0,8,0,0,0,27,0,3,0,ACEBDCED,ACEBDCED,AEACABBEBCCECADDEBDEDBDEDCB,AEXCABBEBCXECADDEBDEDBDEXCB,ACEBACED,11110111.0,CDADABBACBDCCAECBBDEADEBDAD,009011100090110001110000900,555,555,555,555,555,555,555,555,555,555,555,46.4,81.3,87.5,72.0,70.0,70.0,70.0,74.0,50.0,80.0,34.8,33.3,43.3,0.0,60.0,70.0,C,C,A,B,B,C,D,D,B,B,A,A,D,D,C,C,B,C,E,B,A,A,A,A,33.0,D,A,G,C,B,C,B,D,C,H,6.0,6.0,6.0,1.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,B,B,I,I,E,C,B,B,B,A,A,A,A
