NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,TP_SEMESTRE,IN_MATUT,IN_VESPER,IN_NOTURNO,ID_STATUS,AMOSTRA,TP_INSCRICAO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
2015,514,10008,10020,2,10392,1,3300407,33,3,53,F,2008,2011,2,0,0,1,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,ACABADCE,11110111.0,AAAAAABDADDACBEADBCCBBCAECD,110000009901010018901111101,555,555,555,555,555,555,555,555,555,555,555,55.4,86.3,87.5,84.5,97.0,85.0,100.0,72.0,40.0,80.0,45.1,47.8,30.0,40.0,25.0,25.0,C,C,C,B,B,B,B,C,D,E,C,A,B,A,C,B,A,B,B,C,A,A,A,D,33.0,A,E,C,A,A,B,B,E,E,C,2.0,2.0,5.0,5.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2015,10,10008,10028,1,877,1,4125506,41,4,21,F,2011,2012,2,0,0,1,1,1,0,8,0,0,0,27,0,2,0,ACABDDCE,ACABDDCE,ADABCBACDAEECDABEEECDDCDBEA,ADABCBACDAXECDABXEECDDCDBEA,DCABDDAB,1111100.0,CCABCBACDAEECBABEDEBCDCDADB,001111111191101190100111000,555,555,555,555,555,555,555,555,555,555,555,64.4,64.3,62.5,67.0,72.0,80.0,70.0,62.0,70.0,60.0,64.4,64.0,66.7,65.0,65.0,70.0,C,D,B,B,B,B,A,C,D,A,A,A,D,C,A,D,D,D,E,D,A,A,A,D,41.0,A,A,B,C,B,B,D,E,A,H,6.0,5.0,6.0,5.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,6.0,4.0,5.0,6.0,6.0,5.0,5.0,3.0,5.0,4.0,6.0,5.0,6.0,8.0,8.0,6.0,5.0,6.0,4.0,6.0,4.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,4.0,2.0
2015,1267,10008,10022,22,55604,1,4216602,42,4,25,F,2007,2011,2,0,0,1,1,1,0,8,0,0,0,27,1,6,0,ACABDDCE,ACABDDCE,AEDABEEBCACEDDBECCCCDAECBAZ,AEDABEEXXACEDDBECXCXXXECBAZ,BDDCEBED,0.0,ADCDBDDDCBCAEBAEECCBDACDBCC,100010099010000109199900108,555,555,555,333,555,333,333,333,333,333,333,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,30.0,0.0,0.0,0.0,0.0,D,C,C,B,B,B,D,B,B,A,A,A,D,C,B,E,D,C,E,E,A,A,A,F,42.0,A,A,B,C,B,A,B,E,E,B,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,1.0,1.0,5.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0
2015,582,93,10028,1,103408,1,4313706,43,4,31,M,2001,2013,2,0,0,1,1,1,0,8,0,0,0,27,0,2,0,ACABDDCE,ACABDDCE,ADABCBACDAEECDABEEECDDCDBEA,ADABCBACDAXECDABXEECDDCDBEA,CCABDDCE,1111111.0,DCADBAAEBBCDCDBBBCEBCEECADA,001000100090110190100000001,555,555,555,555,555,333,555,555,333,333,333,35.4,70.1,87.5,44.0,27.0,55.0,20.0,61.0,65.0,60.0,23.8,28.0,0.0,0.0,0.0,0.0,C,C,B,C,C,B,D,D,D,B,A,A,D,D,C,B,B,E,E,A,A,A,A,A,43.0,A,A,C,J,A,D,B,E,A,A,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2015,5133,10008,10022,93,117240,1,4217204,42,4,20,M,2011,2014,2,0,0,1,1,1,0,8,0,0,0,27,0,4,0,ACABDDCE,ACABDDCE,ABBDDCBDABDDCCEBDACBAECAAAD,ABBDDCBXABDXCCEBDXCBAECAAAX,CDAADDAD,101100.0,ABBDDBADEEBBBDCADAABAADCEEB,111110090009000019011000009,555,555,555,555,555,555,555,555,555,555,555,35.9,41.3,37.5,47.0,51.0,55.0,50.0,43.0,55.0,40.0,34.1,34.8,30.0,40.0,50.0,0.0,D,C,C,D,B,B,B,D,B,A,A,A,F,B,B,C,B,C,E,K,A,A,A,A,42.0,D,A,A,G,A,D,C,E,A,B,6.0,5.0,2.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,4.0,3.0,3.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2015,752,10008,10022,2,67959,1,3147105,31,3,30,F,2002,2010,2,0,0,1,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,ACABDDAB,11111100.0,AABBBECDEEAAABBEDEDEEBEECED,111001009901011018900100001,555,555,555,555,555,555,555,555,555,555,555,48.3,68.2,75.0,58.0,71.0,75.0,70.0,45.0,65.0,40.0,41.7,43.5,31.7,0.0,50.0,45.0,C,C,A,B,C,A,E,D,C,A,A,A,C,E,B,C,C,C,E,B,A,A,A,A,31.0,A,A,A,G,A,B,B,E,H,C,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2015,298,10005,10028,1,97980,0,4113700,41,4,25,M,2008,2012,2,0,0,1,1,1,0,8,0,0,0,27,0,2,0,ACABDDCE,ACABDDCE,ADABCBACDAEECDABEEECDDCDBEA,ADABCBACDAXECDABXEECDDCDBEA,BEACDDDD,101100.0,ECBCCDEAEBEECCAEAEEEBDCCAEB,000010000091101091100110010,555,555,555,555,555,555,555,555,555,333,555,39.1,50.3,37.5,69.5,69.0,65.0,70.0,70.0,30.0,80.0,35.4,36.0,31.7,60.0,0.0,35.0,C,C,A,A,A,B,E,D,D,A,C,A,A,D,B,F,A,C,B,B,A,A,A,A,29.0,A,A,B,A,A,C,C,E,E,C,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,3.0,4.0,1.0,1.0,3.0,4.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0,3.0,6.0
2015,527,10008,10028,26,20596,1,5208707,52,5,31,F,2000,2012,2,1,0,0,1,1,0,8,0,0,0,27,0,7,0,ACABDDCE,ACABDDCE,CDBDCAEBBDBBDACAAADEDACDCEE,CDXXCAXBBXXBDACAXADEXACDCEE,ACABDDAE,11111101.0,EDECCACDEEADEAABAAEDECCDEAC,019911900990010091009011000,555,555,555,555,555,555,555,555,333,555,555,43.4,81.3,87.5,72.0,67.0,55.0,70.0,77.0,65.0,80.0,30.8,35.0,6.7,0.0,20.0,0.0,C,C,B,B,B,B,C,D,.,A,E,A,F,F,B,E,E,B,B,B,A,A,A,A,52.0,D,A,B,A,A,C,C,E,A,F,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,4.0,4.0,4.0,4.0,1.0,6.0,6.0,3.0
2015,1805,118,10022,88,5000013,1,2607901,26,2,21,M,2011,2014,2,1,0,0,1,1,0,8,0,0,0,27,0,4,0,ACABDDCE,ACABDDCE,DCDABDDBBCEACEACABCEECBEDAA,DCDXBDXBBCEACXACABCEECXEDAA,EDAEDDBD,101100.0,DCDBBDECCCCACDCCABECDADCEAA,111911900101190111000090011,555,555,555,555,555,555,555,555,555,333,555,54.3,52.1,37.5,74.0,90.0,50.0,100.0,58.0,50.0,60.0,55.0,56.5,46.7,100.0,0.0,40.0,C,C,B,B,A,C,B,D,C,A,A,A,F,D,B,D,C,B,A,B,A,A,A,A,26.0,B,A,G,G,A,E,B,E,H,F,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0
2015,322,10008,10028,94,99150,1,3525904,35,3,33,M,2013,2014,2,0,0,1,1,1,0,8,0,0,0,27,0,7,0,ACABDDCE,ACABDDCE,EEEABECCAAEAECBDDDADBCBCDAA,EEEAXECCXXEAEXBDDDADXXBXDAA,ABABEBCE,10110011.0,EEBACEECCBAABEDDBDDDAABAAAD,110191019901090101019919010,555,555,555,555,555,555,555,555,555,555,555,58.1,65.1,62.5,69.0,61.0,65.0,60.0,77.0,65.0,80.0,55.8,55.0,60.0,100.0,50.0,30.0,D,C,C,B,B,D,B,D,C,A,B,A,B,B,B,C,D,E,E,B,A,A,A,A,35.0,D,B,B,A,A,B,B,E,C,C,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,3.0,4.0,4.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,7.0,6.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,6.0,2.0,4.0,6.0
