NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,TP_SEMESTRE,IN_MATUT,IN_VESPER,IN_NOTURNO,ID_STATUS,AMOSTRA,IN_GRAD,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
2016,402,10008,10020,28,56645,1,5300108,53,5,22,F,2011,2012,2,1,0,0,1,1,0,8,0,0,0,27,0,4,0,CAEBCDAC,CAEBCDAC,DBADEBBCBEEBCEECCAAABEADCAD,DBADEBBCBEEBXXECCXAAXEADCAD,EEDBBDCE,10100.0,DBAEDBDCCEEDACAAAAACEADEDED,111001010110990009109000001,555,555,555,555,555,555,555,555,555,555,555,41.9,37.2,25.0,55.5,65.0,85.0,60.0,46.0,70.0,40.0,43.5,39.1,68.3,85.0,30.0,90.0,.,.,.,.,.,.,.,.,.,A,D,A,E,E,B,D,F,B,A,B,A,A,A,A,53.0,B,A,B,C,A,B,D,E,E,F,6.0,6.0,4.0,6.0,6.0,1.0,4.0,5.0,6.0,6.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,3.0,6.0
2016,3879,10005,10022,55,108424,1,2504009,25,2,23,F,2012,2013,2,0,0,1,1,1,0,8,0,0,0,27,1,6,0,CAEBCDAC,CAEBCDAC,CECACZDCBACACBCEADBDAEBBECA,CECACZDXBXCXCBCXADXDAEXBECA,CEBEADDE,10000100.0,CECACDCCBDAADBCEBEABACDEAAA,111118091909011900901090001,555,555,555,555,555,555,555,555,555,555,555,45.4,34.6,25.0,49.0,61.0,65.0,60.0,37.0,65.0,30.0,49.0,50.0,43.3,50.0,20.0,60.0,C,C,C,B,B,C,E,B,C,A,D,A,B,B,B,C,B,E,E,E,A,A,A,C,25.0,B,A,A,C,A,C,B,D,E,I,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2016,3980,118,10022,23,5000271,1,5300108,53,5,30,F,2011,2013,2,0,0,1,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBCBEEAEBDACACAADCDECBDDCBE,DBCXEXAEBDACAXAADCDXCBDXCBE,DEDEAEEB,0.0,EEBBCBBCBAAAABAEBCCEECDCABB,000909001010191001090019010,555,555,555,555,555,555,555,555,555,555,555,28.7,19.4,0.0,48.5,22.0,30.0,20.0,75.0,55.0,80.0,31.8,31.8,31.7,10.0,40.0,45.0,C,C,B,A,A,B,B,C,C,B,A,A,A,B,C,C,A,E,E,E,A,A,A,A,52.0,A,A,B,C,B,B,B,A,E,D,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,5.0,6.0,5.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0
2016,583,10002,10028,36,1122966,1,2304400,23,2,23,F,2010,2012,2,1,1,0,1,1,0,8,0,0,0,27,2,4,0,CAEBCDAC,CAEBCDAC,BBCAZZEBCACABDEABEDECDDECBA,BBCAZZEBCACABDEXBEDXXDDEXBA,CBEBCDED,10111100.0,BBCBDCEBEECADDDBDADBDDDEDDE,111088110011010900199111900,555,555,555,555,555,555,555,555,555,555,555,59.0,65.7,62.5,70.5,96.0,80.0,100.0,45.0,65.0,40.0,56.8,57.1,55.0,35.0,70.0,60.0,C,C,C,B,C,C,A,D,C,A,D,A,D,D,B,F,B,B,A,A,F,F,A,A,23.0,A,A,A,C,B,A,C,A,E,I,5.0,6.0,4.0,5.0,6.0,6.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,6.0,3.0,5.0
2016,1472,10005,10020,92,109418,0,4207502,42,4,36,F,2002,2013,2,0,0,1,1,1,0,8,0,0,0,27,0,4,0,CAEBCDAC,CAEBCDAC,DDDAECCDEAEEBBCEBADAEEDBBCD,DDDAEXCDEAEEXBCEBADXEEDXBCD,CBECBBCE,10100000.0,EADAEADAAAEBBACCDADDEEACCBD,001119000110901001191109001,555,555,555,333,555,555,333,333,333,333,555,34.2,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6,47.8,0.0,0.0,0.0,0.0,C,D,A,B,C,D,D,C,B,E,D,A,C,D,C,E,B,C,D,B,A,A,A,A,43.0,E,D,A,B,B,C,C,E,E,I,6.0,4.0,6.0,2.0,6.0,6.0,5.0,4.0,3.0,4.0,6.0,4.0,7.0,1.0,2.0,6.0,1.0,1.0,6.0,1.0,1.0,7.0,6.0,7.0,6.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,3.0,5.0,3.0,7.0,7.0,2.0,2.0,4.0,1.0,1.0
2016,1600,10008,10022,27,67584,1,3143302,31,3,22,M,2012,2013,2,1,0,0,1,1,0,8,0,0,0,27,2,6,0,CAEBCDAC,CAEBCDAC,DEAEEAADEDCBCBAZCEBADBCDCAZ,XEAEEAAXEDCBCBXZCEBXXXCDCAZ,EB.DADED,100.0,EEAEEAACEDCDCBDBBDBBDAADECD,911111191110119800199901008,555,555,555,555,555,555,555,555,555,555,555,56.7,28.3,12.5,52.0,74.0,50.0,80.0,30.0,70.0,20.0,66.1,68.4,53.3,40.0,35.0,85.0,C,C,B,B,B,A,B,D,D,A,D,A,C,C,B,D,C,B,A,E,A,A,A,A,31.0,A,A,B,H,B,C,E,E,B,G,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,4.0,6.0,6.0,6.0,6.0
2016,1077,10005,10022,23,116508,1,2611606,26,2,36,M,1998,2012,2,0,0,1,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBCBEEAEBDACACAADCDECBDDCBE,DBCXEXAEBDACAXAADCDXCBDXCBE,CBEABDAC,10100111.0,CBCAEEAABAAACDADACDEBCCECBB,011919101010091001190009110,555,555,555,555,555,555,555,555,333,333,555,46.6,52.9,62.5,38.5,36.0,60.0,30.0,41.0,45.0,40.0,44.5,50.0,13.3,0.0,0.0,40.0,D,D,C,B,B,C,B,D,D,B,D,A,B,C,C,D,A,F,E,E,A,A,A,D,26.0,A,A,B,C,B,B,C,E,C,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,6.0,5.0,5.0,6.0,5.0,2.0,2.0,6.0,6.0,4.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0
2016,3193,118,10022,23,321759,1,4119905,41,4,36,F,1999,2011,2,0,0,1,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBCBEEAEBDACACAADCDECBDDCBE,DBCXEXAEBDACAXAADCDXCBDXCBE,EEEDACED,100000.0,DECCDBCCBBCAAEBDBCEDEEDECEE,101909001000190001090019101,555,555,555,555,555,555,555,555,555,555,555,35.8,31.7,12.5,60.5,61.0,65.0,60.0,60.0,60.0,60.0,37.2,36.4,41.7,40.0,40.0,45.0,D,D,C,A,A,B,B,D,C,A,A,A,B,B,D,B,B,B,A,B,A,A,A,A,26.0,A,C,F,K,A,B,C,E,A,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,3.0,3.0,4.0,6.0,1.0,6.0,1.0,6.0
2016,3588,10005,10022,23,98750,1,2927408,29,2,32,F,2002,2012,2,0,0,1,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBCBEEAEBDACACAADCDECBDDCBE,DBCXEXAEBDACAXAADCDXCBDXCBE,EEEAADBD,100100.0,CEDCCBABBDBACEBEECABCBDBAEB,000909101100090001091119000,555,555,555,555,555,555,555,555,555,555,555,35.5,39.8,25.0,62.0,62.0,70.0,60.0,62.0,70.0,60.0,34.0,31.8,46.7,40.0,40.0,60.0,C,C,B,B,B,C,E,D,C,A,D,A,A,C,B,C,C,C,D,B,A,A,A,A,29.0,E,D,B,C,B,B,B,A,A,B,3.0,6.0,3.0,4.0,6.0,5.0,6.0,5.0,6.0,6.0,3.0,5.0,5.0,4.0,4.0,6.0,3.0,6.0,3.0,6.0,5.0,4.0,4.0,6.0,6.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,6.0,3.0,6.0,6.0,3.0
2016,308,121,10028,5,51339,1,3136702,31,3,27,F,2006,2012,2,1,0,0,1,1,0,8,0,0,0,27,0,4,0,CAEBCDAC,CAEBCDAC,AEEECCCBEADEBDEACDDBDDCABBD,AEEECCCBEXDEBDEAXDXBDXCABBD,CBBDADED,10000100.0,BDECCCCBEACECBDEBABBAECDBAA,001011111901000090910910100,555,555,555,555,555,555,555,555,555,555,555,43.7,42.8,25.0,69.5,84.0,60.0,90.0,55.0,75.0,50.0,44.0,43.5,46.7,60.0,80.0,0.0,C,C,C,B,B,C,D,C,D,A,B,A,C,B,D,A,C,B,A,C,A,A,A,E,31.0,A,A,B,A,A,E,D,E,A,H,4.0,5.0,4.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,6.0,4.0,3.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,4.0,4.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0
2016,823,10008,10028,38,102686,1,2111300,21,2,22,F,2012,2013,2,0,0,1,1,1,0,8,0,0,0,27,4,4,0,CAEBCDAC,CAEBCDAC,DCDEZBBCBZAECBZBACAEDZECCEA,DXXEZBBCBZAECBZBACAEDZECXEX,ABDDADEC,101.0,CADBEDBCBDAEEADBBABDADECACD,099080111811008100000811909,555,555,555,555,555,555,555,555,555,555,555,40.8,48.4,25.0,83.5,82.0,50.0,90.0,85.0,65.0,90.0,38.3,42.1,16.7,0.0,0.0,50.0,C,D,E,C,D,D,.,.,E,B,A,A,D,C,C,B,B,C,C,B,A,A,A,A,21.0,B,A,B,C,A,B,B,A,H,F,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2016,1196,10006,10020,3501,97647,1,4115200,41,4,24,M,2015,2016,2,0,0,1,1,1,0,8,0,0,0,27,2,1,0,CAEBCDAC,CAEBCDAC,BCBABDZAEBAZEABBCACCDADADCD,BCBABXZAEBAZEABBCACCDADADCD,DACBBDBC,1010101.0,BABABACABDACBEBBCAECEEAACCB,101119810018001111010001010,555,555,555,555,555,555,555,555,555,333,555,50.3,55.4,50.0,63.5,63.0,75.0,60.0,64.0,80.0,60.0,48.6,54.2,16.7,0.0,0.0,50.0,C,C,C,B,B,C,B,A,D,A,A,A,C,B,B,E,C,C,D,E,A,A,A,A,41.0,A,A,F,C,B,B,B,E,E,F,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0
