NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,TP_INSCRICAO_ADM,TP_INSCRICAO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
2018,322,10005,10028,1,100326,2,3550308,35,3,29,M,2008,2014.0,4.0,0,0,8,0,0,0,27,1,8,0,CACBEBDE,CACBEBDE,ADBBDEDCEEDCAEZADBCBDABECBB,XXBXDEDXEEDCAEZADBCBXAXECXX,DAABBBBD,1010100.0,CADDAEBDAACAECBADADAEDEEDCC,990901090000008110009091099,555,555,555,555,555,555,555,555,555,555,555,"23,2","35,9","37,5","33,5",26.0,50.0,20.0,41.0,65.0,35.0,"18,9","22,2",0,0.0,0.0,0.0,C,C,B,B,B,C,B,C,D,B,A,A,B,B,C,C,F,E,E,E,A,A,A,A,35.0,A,A,C,K,A,A,B,E,F,E,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
2018,546,10008,10028,13,11220,1,3550308,35,3,24,M,2012,2014.0,4.0,0,0,8,0,0,0,27,0,4,0,CACBEBDE,CACBEBDE,CDDBDADAEDBCCECBCEBACBACEEB,CDDBDADAEDBCXEXBCEBAXBACXEB,CBCBEBDE,10111111.0,BDCBCBAADEBBEDDEECDEEEDBEED,010100010010909000009000910,555,555,555,555,555,555,555,555,555,555,333,"31,1","67,5","87,5","37,5",59.0,75.0,55.0,16.0,40.0,10.0,"18,9","21,7","3,3",10.0,0.0,0.0,D,D,C,D,C,D,D,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,12.0,A,A,A,A,A,A,A,A,A,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,1042,10005,10028,84,1420404,1,4106902,41,4,22,F,2015,2017.0,4.0,0,0,8,0,0,0,27,0,4,0,CACBEBDE,CACBEBDE,DEEDABBCDBCECCEBDCBAAEBCDDB,XEEDABBCDBCECCEXDXBAAEBCDDX,BBAEBDDE,11.0,BECDDBBCEACACCEADABADAACDEA,910101110010111919110001109,555,555,555,555,555,555,336,555,555,555,555,"50,3",18,25,"7,5",0.0,0.0,0.0,15.0,35.0,10.0,61,"60,9","61,7",65.0,70.0,50.0,C,C,D,A,A,B,B,D,D,A,A,A,E,A,B,D,C,B,A,B,A,A,A,A,41.0,A,B,A,A,A,B,B,E,A,B,6.0,6.0,4.0,1.0,1.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,6.0,1.0,4.0,5.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,5.0,3.0,4.0,3.0,6.0,5.0,5.0,3.0,4.0,4.0,6.0,5.0,4.0,1.0,5.0
2018,2564,10002,10028,18,1108087,1,2504009,25,2,24,F,2012,2014.0,4.0,0,0,8,0,0,0,27,0,3,0,CACBEBDE,CACBEBDE,DCEEDBABDEDEAADADAECADEEBAC,XCEEDBXBDEDEAADADAECADEEXAC,CACDEDDE,11101011.0,DCEACDABEEDEAABBDCECADEEAAC,911000910111110010111111911,555,555,555,555,555,555,555,555,555,555,555,"68,2","63,8",75,47,65.0,65.0,65.0,29.0,65.0,20.0,"69,7","70,8","63,3",60.0,50.0,80.0,C,C,C,A,A,C,B,D,D,A,A,A,D,D,B,D,B,B,A,A,A,C,A,A,25.0,B,A,B,H,A,C,C,E,E,A,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,2.0,1.0,6.0,6.0,5.0
2018,2484,10008,10022,106,1280607,1,5300108,53,5,25,F,2011,2016.0,4.0,0,0,8,0,0,0,27,1,6,0,CACBEBDE,CACBEBDE,AEEAZECCBEBCBABACDDDECADBBE,AEEAZECXBXXXBABACXDDECADXBE,CBCBCBEB,10110100.0,EEEADBDDEBAAABEDEEEDAADDBAC,011180090999000009010001900,555,555,555,555,555,555,555,555,555,555,555,"31,6","44,6",50,"36,5",37.0,65.0,30.0,36.0,40.0,35.0,"27,3",25,40,25.0,60.0,35.0,C,C,C,B,B,D,B,D,D,A,D,A,C,B,B,C,A,C,E,B,A,A,A,A,53.0,A,A,B,C,A,B,C,E,A,B,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2018,1364,10005,10022,18,58794,1,2933307,29,2,32,F,2004,2013.0,4.0,0,0,8,0,0,0,27,0,3,0,CACBEBDE,CACBEBDE,DCEEDBABDEDEAADADAECADEEBAC,XCEEDBXBDEDEAADADAECADEEXAC,CEEEDBDE,10000111.0,CCECCBDBDEDBABBBDEBAAECEABA,911001911110100010001001900,555,555,555,555,555,555,555,555,336,555,333,"40,7","42,2",50,"30,5",31.0,75.0,20.0,30.0,50.0,25.0,"40,2","45,8","8,3",0.0,25.0,0.0,C,C,B,B,B,C,B,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,12.0,A,A,A,A,A,A,A,A,A,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,417,10005,10028,105,1382697,2,3550308,35,3,36,F,2001,2017.0,4.0,0,0,8,0,0,0,27,0,7,0,CACBEBDE,CACBEBDE,AEDEBDBCCCBCEEBBDBCCEACBADC,AEDEXDBCXCBCEEBXDXXCEACXADX,EBCBCEBE,110001.0,EEDDABCCBCBCBBBACCACBAEACCC,011090019111001909910109009,555,555,555,555,555,555,555,333,555,333,555,"39,5","29,7","37,5",18,36.0,60.0,30.0,0.0,0.0,0.0,"42,8",45,30,40.0,0.0,50.0,D,C,B,C,B,C,B,B,C,A,D,A,B,B,B,E,A,E,E,I,A,A,A,A,35.0,A,A,B,A,B,D,B,E,A,B,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,6.0,6.0,4.0,6.0,1.0,1.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2018,518,10005,10020,86,1286017,1,5300108,53,5,23,M,2015,2017.0,1.0,0,0,8,0,0,0,27,0,7,0,CACBEBDE,CACBEBDE,EBBACDBADAEDEBECBABDCCBDBEC,XBXAXXXADAEDEXECBABDXCBDBEC,DDCCDBCE,100101.0,DDAABDABCACDCBBCAACBACEACEE,909199900101090101009100010,555,555,555,555,555,555,555,555,555,555,333,"33,5","38,7","37,5","40,5",35.0,55.0,30.0,46.0,50.0,45.0,"31,7",35,"13,3",40.0,0.0,0.0,C,D,C,C,D,D,B,D,C,A,B,A,D,C,B,D,C,C,D,H,A,A,A,A,53.0,A,A,B,C,B,B,B,A,A,B,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,4.0,5.0,5.0,4.0,4.0,6.0,5.0,6.0,6.0,6.0,3.0,5.0,2.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0
2018,1472,10005,10020,38,111730,2,4207502,42,4,40,F,2006,2015.0,4.0,0,0,8,0,0,0,27,0,0,0,CACBEBDE,CACBEBDE,DBBCACAEDEBEBDDECCDCEADEBDD,DBBCACAEDEBEBDDECCDCEADEBDD,BCBCCACA,0.0,BBBBDAAADAAAEDACCACADDCCBAD,011000101000010010000000101,555,555,555,555,555,555,555,555,555,555,555,"22,4","9,4",0,"23,5",9.0,45.0,0.0,38.0,50.0,35.0,"26,7","29,6",10,30.0,0.0,0.0,.,.,.,.,.,.,.,.,.,A,B,A,C,C,C,E,D,E,E,B,A,A,A,A,43.0,A,A,C,G,B,C,C,E,A,B,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2018,3443,10005,10022,18,5000002,1,4303103,43,4,34,F,2002,2012.0,4.0,0,0,8,0,0,0,27,0,3,0,CACBEBDE,CACBEBDE,DCEEDBABDEDEAADADAECADEEBAC,XCEEDBXBDEDEAADADAECADEEXAC,CAECDBDE,11000111.0,CCEDEAABDEDAABDDDDECADCEABC,911000911110101010111101901,555,555,555,555,555,555,555,333,333,333,555,"54,2","49,9","62,5",31,62.0,70.0,60.0,0.0,0.0,0.0,"55,6","62,5","16,7",0.0,0.0,50.0,C,D,B,B,B,C,A,D,D,B,A,A,B,B,C,C,B,A,A,D,A,A,A,A,43.0,A,A,C,I,B,B,B,E,A,C,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
